"id_prod","PUNTO DE VENTA","TIPO PRODUCTO","MARCA","MODELO","COLOR","TECNOLOGIA","MEMORIA INTERNA","MEMORIA RAM","TECNOLOGIA SIM","TIPO PROCESADOR","DETALLE TECNICO","DISPOSITIVO DESTINO","TIPO ACCESORIO","MATERIA","VOLTAJE","TIPO CONEXION","RUTA CAPTURA","d_extension_captura","v_peso_captura","d_dimension_captura"
"44","LURIN","Equipo Celular","MOTOROLA","MOTO G06","CAFÉ","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Ultra Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493610566_K-20260826082412.jpg","jpg","57067.0000","width: 638 x height: 795"
"65","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A36","NEGRO","5G","128 GB","6 GB","One SIM","Qualcomm Snapdragon 6 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097048503_K-20260826124756.jpg","jpg","68893.0000","width: 684 x height: 870"
"65","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A36","NEGRO","5G","128 GB","6 GB","One SIM","Qualcomm Snapdragon 6 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097048503_K-20260826124756.jpg","jpg","68893.0000","width: 684 x height: 870"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"66","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"71","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY S25 FE","JETBLACK","5G","256 GB","8 GB","One SIM","Samsung Exynos 2400 Octa-Core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097660446_K-20260826133005.jpg","jpg","61198.0000","width: 729 x height: 869"
"60","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A06","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G85 Octa-Core","Android 14","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806095750835_K-20260826110002.jpg","jpg","68409.0000","width: 655 x height: 852"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"61","LURIN","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"61","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"44","CIENEGUILLA","Equipo Celular","MOTOROLA","MOTO G06","CAFÉ","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Ultra Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493610566_K-20260826082412.jpg","jpg","57067.0000","width: 638 x height: 795"
"87","CHOSICA","Equipo Celular","XIAOMI","REDMI NOTE 15","AZUL","5G","256 GB","8 GB","One SIM","Qualcomm Snapdragon 6 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-70069567_K-20260826154143.jpg","jpg","73803.0000","width: 732 x height: 865"
"87","LURIN","Equipo Celular","XIAOMI","REDMI NOTE 15","AZUL","5G","256 GB","8 GB","One SIM","Qualcomm Snapdragon 6 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-70069567_K-20260826154143.jpg","jpg","73803.0000","width: 732 x height: 865"
"87","CHOSICA","Equipo Celular","XIAOMI","REDMI NOTE 15","AZUL","5G","256 GB","8 GB","One SIM","Qualcomm Snapdragon 6 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-70069567_K-20260826154143.jpg","jpg","73803.0000","width: 732 x height: 865"
"66","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"80","CHOSICA","Equipo Celular","XIAOMI","REDMI 15","NEGRO","5G","256 GB","8 GB + 8 GB","One SIM","Qualcomm Snapdragon 685 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-6932554445065_K-20260826142232.jpg","jpg","67587.0000","width: 679 x height: 792"
